APN,RSO Year,Address,City,Zip,RSO Units,Prior Council District,Council District,Land Use Code,Unit Range,Latitude,Longitude
2022002018,2021,22713 WYANDOTTE ST,LOS ANGELES,91307.0,2,12,12.0,200,2 units,,
2022002030,2021,7355 MAYNARD AVE,LOS ANGELES,91307.0,1,12,12.0,200,1 unit,43.6377304,-79.4375699
2022003006,2021,22700 CANTLAY ST,LOS ANGELES,91307.0,1,12,12.0,200,1 unit,34.2016907,-118.621499
2022004007,2023,7230 MAYNARD AVE,LOS ANGELES,91307.0,1,12,12.0,200,1 unit,43.6377304,-79.4375699
2022004008,2023,7226 MAYNARD AVE,LOS ANGELES,91307.0,2,12,12.0,200,2 units,43.6377304,-79.4375699
2022004009,2022,7220 MAYNARD AVE,LOS ANGELES,91307.0,2,12,12.0,200,2 units,43.6377304,-79.4375699
2022007009,2021,7425 PONCE AVE,LOS ANGELES,91307.0,2,12,12.0,200,2 units,34.2053523,-118.621807
2022008006,2024,22710 SATICOY ST,LOS ANGELES,91307.0,1,12,12.0,200,1 unit,34.2080112,-118.6216588
2022009007,2024,22616 SATICOY ST,LOS ANGELES,91307.0,2,12,12.0,200,2 units,34.2079857,-118.6197558
2022009009,2021,22600 SATICOY ST,LOS ANGELES,91307.0,1,12,12.0,200,1 unit,34.2079937,-118.6193277
2022009013,2023,22619 COVELLO ST,LOS ANGELES,91307.0,1,12,12.0,200,1 unit,34.2075858,-118.6200749
2022009014,2024,22625 COVELLO ST,LOS ANGELES,91307.0,1,12,12.0,200,1 unit,34.2075999,-118.6202485
2022009018,2023,22649 COVELLO ST,LOS ANGELES,91307.0,1,12,12.0,200,1 unit,34.2076319,-118.621041
2022010004,2021,22708 COVELLO ST,LOS ANGELES,91307.0,1,12,12.0,200,1 unit,34.207113,-118.621699
2022012008,2019,22640 COHASSET ST,LOS ANGELES,91307.0,2,12,12.0,200,2 units,34.2064053,-118.6204851
2022013008,2022,7300 PONCE AVE,LOS ANGELES,91307.0,2,12,12.0,200,2 units,34.2031218,-118.6202652
2022013011,2023,7322 PONCE AVE,LOS ANGELES,91307.0,2,12,12.0,200,2 units,34.2036543,-118.6204851
2022014002,2023,7262 SALE AVE,LOS ANGELES,91307.0,2,12,12.0,200,2 units,34.2029507,-118.6192314
2022015012,2021,7508 SALE AVE,LOS ANGELES,91307.0,1,12,12.0,200,1 unit,34.206845,-118.6194097
