APN,RSO Year,Address,City,Zip,RSO Units,Prior Council District,Council District,Land Use Code,Unit Range
6040040029,2019,161 W 93RD ST,LOS ANGELES,90003,3,8,8,300,3-4 units
6040040031,2019,160 W 92ND ST,LOS ANGELES,90003,2,8,8,200,2 units
6041001004,2019,146 E MANCHESTER AVE,LOS ANGELES,90003,6,8,8,500,5-10 units
6041001011,2019,8639 WALL ST,LOS ANGELES,90003,4,8,8,400,3-4 units
6041001014,2019,145 E 87TH ST,LOS ANGELES,90003,2,8,8,200,2 units
6041001016,2019,139 E 87TH ST,LOS ANGELES,90003,2,8,8,200,2 units
6041001019,2019,125 E 87TH ST,LOS ANGELES,90003,2,8,8,200,2 units
6041001020,2019,123 E 87TH ST,LOS ANGELES,90003,2,8,8,200,2 units
6041001022,2024,115 E 87TH ST,LOS ANGELES,90003,3,8,8,300,3-4 units
6041001028,2019,8628 S MAIN ST,LOS ANGELES,90003,1,8,8,1210,1 unit
6041002001,2019,158 E 87TH ST,LOS ANGELES,90003,2,8,8,200,2 units
6041002002,2019,154 E 87TH ST,LOS ANGELES,90003,2,8,8,200,2 units
6041002007,2019,134 E 87TH ST,LOS ANGELES,90003,2,8,8,200,2 units
6041002010,2019,120 E 87TH ST,LOS ANGELES,90003,2,8,8,200,2 units
6041002012,2019,112 E 87TH ST,LOS ANGELES,90003,4,8,8,400,3-4 units
6041002014,2019,155 E 87TH PL,LOS ANGELES,90003,3,8,8,300,3-4 units
6041002017,2019,141 E 87TH PL,LOS ANGELES,90003,3,8,8,300,3-4 units
6041002020,2019,127 E 87TH PL,LOS ANGELES,90003,5,8,8,500,5-10 units
6041002023,2019,115 E 87TH PL,LOS ANGELES,90003,2,8,8,200,2 units
6041002026,2019,8710 S MAIN ST,LOS ANGELES,90003,2,8,8,200,2 units
6041002035,2019,135 E 87TH PL,LOS ANGELES,90003,4,8,8,400,3-4 units
6041002036,2019,139 E 87TH PL,LOS ANGELES,90003,4,8,8,400,3-4 units
6041002038,2019,8718 S MAIN ST,LOS ANGELES,90003,2,8,8,200,2 units
6041002039,2019,8722 S MAIN ST,LOS ANGELES,90003,2,8,8,200,2 units
6041002040,2019,8724 S MAIN ST,LOS ANGELES,90003,2,8,8,200,2 units
6041002041,2019,8726 S MAIN ST,LOS ANGELES,90003,2,8,8,200,2 units
6041003003,2019,150 E 87TH PL,LOS ANGELES,90003,4,8,8,400,3-4 units
6041003006,2019,138 E 87TH PL,LOS ANGELES,90003,2,8,8,200,2 units
6041003008,2019,132 E 87TH PL,LOS ANGELES,90003,2,8,8,200,2 units
6041003013,2019,8771 WALL ST,LOS ANGELES,90003,3,8,8,200,3-4 units
6041003014,2019,155 E 88TH ST,LOS ANGELES,90003,2,8,8,200,2 units
6041003015,2019,153 E 88TH ST,LOS ANGELES,90003,3,8,8,300,3-4 units
6041003017,2019,143 E 88TH ST,LOS ANGELES,90003,2,8,8,200,2 units
6041003018,2019,139 E 88TH ST,LOS ANGELES,90003,2,8,8,200,2 units
6041003019,2019,135 E 88TH ST,LOS ANGELES,90003,4,8,8,400,3-4 units
6041003034,2019,127 E 88TH ST,LOS ANGELES,90003,2,8,8,200,2 units
6041003035,2020,131 E 88TH ST,LOS ANGELES,90003,2,8,8,200,2 units
6041004001,2019,8801 WALL ST,LOS ANGELES,90003,2,8,8,200,2 units
6041004005,2019,138 E 88TH ST,LOS ANGELES,90003,3,8,8,300,3-4 units
6041004009,2019,120 E 88TH ST,LOS ANGELES,90003,2,8,8,200,2 units
6041004012,2019,8815 WALL ST,LOS ANGELES,90003,3,8,8,300,3-4 units
6041004013,2019,155 E 88TH PL,LOS ANGELES,90003,3,8,8,300,3-4 units
6041004015,2019,147 E 88TH PL,LOS ANGELES,90003,2,8,8,200,2 units
6041005008,2019,112 E 88TH PL,LOS ANGELES,90003,2,8,8,200,2 units
6041005010,2019,122 E 88TH PL,LOS ANGELES,90003,2,8,8,200,2 units
6041005011,2019,128 E 88TH PL,LOS ANGELES,90003,4,8,8,400,3-4 units
6041005012,2019,130 E 88TH PL,LOS ANGELES,90003,4,8,8,400,3-4 units
6041005014,2019,138 E 88TH PL,LOS ANGELES,90003,2,8,8,200,2 units
6041005015,2019,142 E 88TH PL NO 3,LOS ANGELES,90003,4,8,8,400,3-4 units
6041005017,2019,150 E 88TH PL,LOS ANGELES,90003,2,8,8,200,2 units
6041005018,2019,154 E 88TH PL,LOS ANGELES,90003,2,8,8,200,2 units
6041005021,2019,155 E 89TH ST,LOS ANGELES,90003,4,8,8,400,3-4 units
6041005023,2019,147 E 89TH ST,LOS ANGELES,90003,2,8,8,200,2 units
6041005024,2019,143 E 89TH ST,LOS ANGELES,90003,2,8,8,200,2 units
6041005027,2019,131 E 89TH ST,LOS ANGELES,90003,2,8,8,200,2 units
6041005029,2019,123 E 89TH ST,LOS ANGELES,90003,3,8,8,300,3-4 units
6041005033,2019,8854 S MAIN ST,LOS ANGELES,90003,2,8,8,200,2 units
6041006012,2019,126 E 89TH ST,LOS ANGELES,90003,4,8,8,400,3-4 units
6041006016,2019,140 E 89TH ST,LOS ANGELES,90003,2,8,8,200,2 units
6041006017,2019,146 E 89TH ST,LOS ANGELES,90003,3,8,8,300,3-4 units
6041006019,2019,154 E 89TH ST,LOS ANGELES,90003,2,8,8,200,2 units
6041006024,2019,147 E 90TH ST,LOS ANGELES,90003,3,8,8,300,3-4 units
6041006025,2019,143 E 90TH ST,LOS ANGELES,90003,2,8,8,200,2 units
6041007006,2024,9014 S MAIN ST,LOS ANGELES,90003,1,8,8,200,1 unit
6041007008,2023,9018 S MAIN ST,LOS ANGELES,90003,1,8,8,200,1 unit
6041007013,2021,121 E 91ST ST,LOS ANGELES,90003,1,8,8,200,1 unit
6041008001,2019,9100 S MAIN ST,LOS ANGELES,90003,3,8,8,300,3-4 units
6041008002,2019,9104 S MAIN ST,LOS ANGELES,90003,2,8,8,200,2 units
6041008003,2019,9106 S MAIN ST,LOS ANGELES,90003,2,8,8,200,2 units
6041008009,2019,115 E 92ND ST,LOS ANGELES,90003,2,8,8,200,2 units
6041008010,2019,119 E 92ND ST,LOS ANGELES,90003,3,8,8,300,3-4 units
6041008011,2019,123 E 92ND ST,LOS ANGELES,90003,2,8,8,200,2 units
6041009007,2023,236 E 91ST ST,LOS ANGELES,90003,1,9,9,200,1 unit
6041009025,2019,241 E 92ND ST,LOS ANGELES,90003,4,9,9,300,3-4 units
6041010009,2019,9019 S SAN PEDRO ST,LOS ANGELES,90003,4,9,9,400,3-4 units
6041010053,2021,225 E 91ST ST,LOS ANGELES,90003,1,9,9,200,1 unit
6041011006,2019,244 E 89TH ST,LOS ANGELES,90003,3,9,9,300,3-4 units
6041011010,2021,228 E 89TH ST,LOS ANGELES,90003,2,9,9,200,2 units
6041011016,2019,204 E 89TH ST,LOS ANGELES,90003,2,9,9,200,2 units
6041011017,2019,202 E 89TH ST,LOS ANGELES,90003,2,9,9,200,2 units
6041012001,2019,8873 S SAN PEDRO ST,LOS ANGELES,90003,2,9,9,200,2 units
6041012013,2019,238 E 88TH PL,LOS ANGELES,90003,2,9,9,200,2 units
6041012017,2019,220 E 88TH PL,LOS ANGELES,90003,3,9,9,300,3-4 units
