APN,Application Received,Application Year,Council District,Address,City,Zip,Units Withdrawn,Replacement Unit,Latitude,Longitude
2336016004,5/2/2017,2017,2,11306 W VICTORY BLVD,LOS ANGELES ,91606.0,5.0,,34.1848901,-118.3593454
2337012003,5/11/2022,2022,2,5912 N TUJUNGA AVE,LOS ANGELES ,91601.0,2.0,6.0,34.2334089,-118.3818787
2337014005,4/18/2016,2016,2,5832 N TUJUNGA AVE,LOS ANGELES ,91601.0,2.0,6.0,34.2334089,-118.3818787
2337017026,5/8/2019,2019,2,11249 W HATTERAS ST,NORTH HOLLYWOOD ,91601.0,2.0,3.0,34.1866635,-118.3877732
2337028010,7/17/2023,2023,2,5740 N FULCHER AVE,LOS ANGELES ,91601.0,2.0,,34.1751306,-118.372788
2337030004,4/10/2019,2019,2,5747 N FULCHER AVE,LOS ANGELES ,91601.0,3.0,,34.17524520000001,-118.3732661
2337030005,4/10/2019,2019,2,5741 N FULCHER AVE,LOS ANGELES ,91601.0,3.0,4.0,34.175112,-118.3732999
2337030019,1/23/2019,2019,2,5728 N FAIR AVE,NORTH HOLLYWOOD ,91601.0,2.0,10.0,34.1748418,-118.3744059
2337031007,10/13/2015,2015,2,11135 W BURBANK BLVD,NORTH HOLLYWOOD ,91601.0,4.0,70.0,34.1790553,-118.3372327
2337031009,5/27/2016,2016,2,5630 N FAIR AVE,NORTH HOLLYWOOD ,91601.0,2.0,,34.1730784,-118.3742362
2337033017,3/20/2019,2019,2,5749 N KLUMP AVE,LOS ANGELES ,91601.0,2.0,,34.1753852,-118.375436
2337034016,4/10/2019,2019,2,5617 N KLUMP AVE,LOS ANGELES ,91601.0,2.0,,34.1726799,-118.3755243
2337036007,2/19/2016,2016,2,11343 W MIRANDA ST,LOS ANGELES ,91601.0,2.0,,34.1752054,-118.3782201
2337037021,7/31/2019,2019,2,11318 W MIRANDA ST,NORTH HOLLYWOOD ,91601.0,2.0,,34.174786,-118.3774509
2337037023,8/20/2019,2019,2,11308 W MIRANDA ST,LOS ANGELES ,91601.0,3.0,,34.1747884,-118.3771252
2338006014,12/14/2022,2022,2,6142 N HAZELHURST PL,LOS ANGELES ,91606.0,2.0,,34.1823355,-118.3871341
2338014024,10/30/2017,2017,2,11437 W HATTERAS ST,LOS ANGELES ,91601.0,2.0,5.0,34.1766247,-118.6241266
